No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
409,p,plural,p,bug,bug,bug,,,,lines arranged with the string <M0> followed by a vowel and not a capital letter,( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <CAP> ] ) ),以字符串<M0>排列的行，后跟元音而不是大写字母,"lines arranged in the string <M0> , followed by vowels instead of capital letters",( <M0> . * [ <VOW> ] . * ) & ( ~ ( [ <LET> ] ) + ),0.7901234570000001,0.7788728540000001,13,0.434782609,0.31578947399999996,0.9272326129999999,0.7803883890000001,0.756991705,0.698324963,0.875,0.857142857,1.0,1.0,1.0,0.9375,0.933333333
410,p,plural,p,bug,bug,bug,,,,"lines having a vowel , characters , and a lower-case letter before the string <M0>",( ( [ <VOW> ] ) & ( . ) + & ( [ <LOW> ] ) ) . * ( <M0> ) . *,在字符串<M0>之前具有元音，字符和小写字母的行,"lines with vowels , characters , and lowercase letters before the string <M0>",( ( [ <VOW> ] ) + & ( . ) + & ( [ <LET> ] ) + ) . * ( <M0> ) . *,0.853658537,0.8563628409999999,8,0.6521739129999999,0.578947369,0.968530917,0.9087793809999999,0.780906368,0.7320695429999999,0.869565217,0.850931677,1.0,1.0,1.0,0.9347826090000001,0.9304347829999999
411,p,plural,p,bug,bug,bug,,,,rows preceded by a capital letter or vowels and a numeric character,( ( [ <CAP> ] ) ( . * ) ) | ( ( [ <VOW> ] ) + & ( [ <NUM> ] ) ),以大写字母或元音和数字字符开头的行,lines beginning with capital letters or vowels and numeric characters,( ( ( [ <LET> ] ) + | ( [ <VOW> ] ) + ) & ( [ <VOW> ] ) + ) ( . * ),0.695652174,0.663651807,6,0.739130435,0.6842105270000001,0.842491895,0.516940648,0.6692052620000001,0.574454655,0.454545455,0.37662337700000004,0.137376,0.137376,0.137376,0.295960727,0.249024776
412,FW,,None,bug,correct,correct,,,,"lines not made up of only a numeric character , 0 or more times",~ ( ( [ <NUM> ] ) * ),行不只由数字字符组成，0次或多次,"line is not only composed of numeric characters , 0 or more times",~ ( ( [ <NUM> ] ) + * ) . *,0.7384615379999999,0.715863861,7,0.695652174,0.6315789479999999,0.9619357479999999,0.8882758690000001,0.7461465890000001,0.683022055,0.7,0.6571428570000001,False,0.0,0.0,0.35,0.306666667
413,BW,BW,BW,bug,bug,bug,modification,incorrect modification,modification,"strings with words that have the string <M0> , zero or more times or the string <M1>",\ b ( ( <M0> ) * ) | ( <M1> ) \ b,包含字符串<M0>，零次或多次或字符串<M1>的单词的字符串,"a string containing the word <M0> , zero or more times or the word <M1>",( . * ( <M0> ) * \ b ),0.642857143,0.599260824,8,0.6521739129999999,0.578947369,0.95060735,0.85305737,0.643215897,0.537782584,0.333333333,0.23809523800000001,0.0,0.0,0.0,0.166666667,0.111111111
414,c,,p,correct,bug,bug,,,,"lines with a character followed by a vowel , 2 or more times","( . . * [ <VOW> ] . * ) { 2 , }",字符后跟元音的行，两次或多次,"lines of characters followed by vowels , two or more times","( . * . . * [ <VOW> ] . * ) { 2 , }",0.783333333,0.7705913409999999,2,0.913043478,0.894736842,0.93693554,0.810553512,0.729800387,0.659956887,0.818181818,0.792207792,1.0,1.0,1.0,0.9090909090000001,0.903030303
415,c,,None,correct,correct,correct,,,,lines starting with a lower-case letter followed by a vowel or the string <M0>,( ( [ <LOW> ] . * [ <VOW> ] . * ) | ( <M0> ) ) ( . * ),行以小写字母开头，后跟元音或字符串<M0>,"the line starts with a lowercase letter , followed by a vowel or string <M0>",( ( [ <LOW> ] . * [ <VOW> ] . * ) | ( <M0> ) ) ( . * ),0.807692308,0.800300545,5,0.7826086959999999,0.7368421059999999,0.9703180229999999,0.914335259,0.844641929,0.822003061,1.0,1.0,1.0,1.0,1.0,1.0,1.0
416,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , the string <M1> , or a character",~ ( ( <M0> ) | ( <M1> ) | ( . ) ),没有字符串<M0>，字符串<M1>或字符的行,"line without string <M0> , string <M1> or character",~ ( ( <M0> ) | ( <M1> ) ),0.701492537,0.670774953,11,0.52173913,0.421052631,0.9606409690000001,0.8842505709999999,0.601381717,0.478752822,0.7142857140000001,0.673469388,-1.0,0.0,0.0,0.35714285700000004,0.314285714
417,c,,None,correct,correct,correct,,,,"lines not having the string <M0> , a character , or the string <M1>",~ ( ( <M0> ) | ( . ) | ( <M1> ) ),没有字符串<M0>，字符或字符串<M1>的行,"line without string <M0> , character or string <M1>",~ ( ( <M0> ) | ( <M1> ) ),0.701492537,0.670774953,11,0.52173913,0.421052631,0.960408714,0.8835285209999999,0.601381717,0.478752822,0.7142857140000001,0.673469388,-1.0,0.0,0.0,0.35714285700000004,0.314285714
418,c,,None,correct,correct,correct,,,,the line begins with a vowel or the string <M0>,( ( [ <VOW> ] ) | ( <M0> ) ) ( . * ),该行以元音或字符串<M0>开头,the line starts with a vowel or the string <M0>,( ( [ <VOW> ] ) | ( <M0> ) ) ( . * ),0.893617021,0.905097845,0,1.0,1.0,0.996486878,0.995690785,0.8559898690000001,0.8380154740000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
419,c,plural,p,correct,bug,bug,,,,lines with lettered words before a number or the string <M0>,( [ <LET> ] ) . * ( ( [ <NUM> ] ) | ( <M0> ) ) . *,在数字或字符串<M0>之前带有字母单词的行,lines with letter words before numbers or string <M0>,( [ <LET> ] ) . * ( ( [ <NUM> ] ) + | ( <M0> ) ) . *,0.85,0.85190074,4,0.826086957,0.789473685,0.991733145,0.980912055,0.790198297,0.74518084,0.9411764709999999,0.9327731090000001,1.0,1.0,1.0,0.970588235,0.9686274509999999
420,p,plural,p,bug,bug,bug,,,,"lines with a lower-case letter before either the string <M0> , a number , or the string <M1>",( [ <LOW> ] ) . * ( ( <M0> ) | ( [ <NUM> ] ) | ( <M1> ) ) . *,在字符串<M0>，数字或字符串<M1>之前使用小写字母的行,"use lowercase letters before the string <M0> , number or string <M1>",( ~ ( [ <LET> ] ) + ) . * ( ( <M0> ) | ( [ <NUM> ] ) ) . *,0.695652174,0.663651807,10,0.565217391,0.47368421,0.909817274,0.7262463920000001,0.629837612,0.518905269,0.55,0.485714286,0.0156,0.0156,0.0156,0.2828,0.23498666699999998
421,c,,None,correct,correct,correct,,,,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times","( \ b ( <M0> ) | ( . ) + | ( [ <CAP> ] ) \ b ) { , 6 }",包含<M0>，字符或大写字母的单词的行，最多6次,"line containing words of <M0> , characters or capital letters , up to 6 times",". * ( [ <LET> ] ) | ( ( . ) + { , 6 } ) . *",0.553398058,0.49015285799999997,10,0.565217391,0.47368421,0.916333301,0.7465038620000001,0.52887681,0.376445394,0.41176470600000004,0.327731092,False,0.0,0.0,0.20588235300000002,0.15294117599999998
422,p,plural,p,bug,bug,bug,,,,lines with a vowel followed by the string <M0> before lettered words,( [ <VOW> ] . * <M0> . * ) . *( [ <LET> ] ) + . *,带有元音的行，后跟字母单词前的字符串<M0>,lines with vowels followed by the string <M0> before the letter word,( [ <VOW> ] . * <M0> . * ) . * ( ( . * ) ( <M0> . * ) . * ),0.852941176,0.855487918,2,0.913043478,0.894736842,0.979977467,0.944365199,0.872173918,0.860851838,0.608695652,0.552795031,-1.0,0.0,0.0,0.304347826,0.257971014
423,c,,None,correct,correct,correct,,,,lines starting with the string <M0> in front of a string that is not an uppercase letter,( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,在不是大写字母的字符串前面以字符串<M0>开头的行,the line that starts with the string <M0> before the string that is not a capital letter,( ( <M0> ) ( . * ) ) . * ( ~ ( [ <CAP> ] ) ) . *,0.659090909,0.61906019,10,0.565217391,0.47368421,0.916400345,0.746712293,0.660792872,0.562584424,1.0,1.0,1.0,1.0,1.0,1.0,1.0
424,c,,None,correct,correct,correct,,,,lines are not words that have characters in front of the string <M0>,~ ( \ b ( . ) + . * ( <M0> ) . * \ b ),行不是在字符串<M0>前面具有字符的单词,line is not a word with characters in front of the string <M0>,~ ( ( . ) + . * ( <M0> ) . * ),0.794117647,0.783744332,6,0.739130435,0.6842105270000001,0.978766246,0.940599672,0.737090495,0.670243531,0.875,0.857142857,-1.0,0.0,0.0,0.4375,0.4
425,c,,None,correct,correct,correct,,,,rows are not words that have the string <M0> then the string <M1>,~ ( \ b <M0> . * <M1> . * \ b ),行不是包含字符串<M0>然后是字符串<M1>的单词,line is not a word that contains the string <M0> and then the string <M1>,~ ( \ b . * <M0> . * \ b ),0.712328767,0.683991263,4,0.826086957,0.789473685,0.9353549729999999,0.805639737,0.68131376,0.5915402470000001,0.818181818,0.792207792,-1.0,0.0,0.0,0.409090909,0.36969697
426,c,,None,correct,correct,correct,,,,"lines with the string <M0> or containing only the string <M1> , three or more times","( ( <M0> ) | ( <M1> ) ) { 3 , }",包含字符串<M0>或仅包含字符串<M1>的行三遍或更多遍,lines containing the string <M0> or only the string <M1> three or more times,"( . * ( <M0> ) | ( <M1> ) . * ) { 3 , }",0.7349397590000001,0.711568555,6,0.739130435,0.6842105270000001,0.99437007,0.989109908,0.875698943,0.865825794,0.7142857140000001,0.673469388,0.0156,0.0156,0.0156,0.364942857,0.322605714
427,BW,ambiguity,FW,bug,bug,bug,quantifier ,quantity,quantifier,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times","( <M0> ) . * ( ~ ( ( [ <VOW> ] ) { 2 , } ) ) . *",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,lines arranged with the string <M0> 2 or more times before the string that is not a vowel,"( ( <M0> ) { 2 , } ) . * ( ~ ( [ <VOW> ] ) ) . *",0.5842696629999999,0.527805133,5,0.7826086959999999,0.7368421059999999,0.993292763,0.985760702,0.9217085770000001,0.9307472940000001,0.625,0.571428571,1.5258556000000003e-05,1.5258599999999998e-05,1.5258599999999998e-05,0.312507629,0.266674805
428,FW,ambiguity,amb,bug,bug,bug,,,,lines containing the string <M0> before a vowel and the string <M1>,. * ( ( <M0> ) . * ( [ <VOW> ] ) . * ) & ( <M1> ) . *,在元音之前包含字符串<M0>和字符串<M1>的行,lines containing the string <M0> and the string <M1> before the vowel,( . * <M0> . * ) & ( ( <M1> ) . * ( [ <VOW> ] ) . * ),0.536231884,0.469216289,0,1.0,1.0,0.9971190879999999,0.997656243,0.9060745020000001,0.9086869670000001,0.45,0.37142857100000004,0.14957,0.14957,0.14957,0.29978499999999997,0.253104
429,FW,BW,BW,bug,bug,bug,Under-translation,ut,under-translation,"lines with the string <M0> or the string <M1> , five or more times","( ( <M0> ) | ( <M1> ) ) { 5 , }",字符串<M0>或字符串<M1>的行五次或更多次,the string <M0> or string <M1> lines five or more times,"( ( <M0> ) | ( ( <M1> ) { 5 , } ) )",0.696969697,0.665258712,7,0.695652174,0.6315789479999999,0.986799718,0.965574679,0.780759603,0.731862452,0.75,0.7142857140000001,1.0,1.0,1.0,0.875,0.8666666670000001
430,BW,,None,bug,correct,correct,,,,"lines arranged with vowels or the string <M0> , up to 7 times in total","( ( [ <VOW> ] ) + | ( <M0> ) ) { , 7 }",用元音或字符串<M0>排列的行，总共最多7次,"lines arranged with vowels or character string <M0> , up to 7 times in total","( ( [ <VOW> ] ) + | ( . ) ) { , 7 }",0.907894737,0.922511533,2,0.913043478,0.894736842,0.98070468,0.946626008,0.868086668,0.855084559,0.9090909090000001,0.896103896,0.0275229,0.027522900000000003,0.027522900000000003,0.468306905,0.432860698
431,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , greater than or equal to 0 times",~ ( ( <M0> ) * ),仅包含字符串<M0>的行，大于或等于0次,"lines containing only the string <M0> , greater than or equal to 0 times",( . * <M0> . * ) *,0.947368421,0.970655255,1,0.956521739,0.947368421,0.962857228,0.891140629,0.9359902520000001,0.9508993290000001,0.375,0.28571428600000004,0.0,0.0,0.0,0.1875,0.133333333
432,c,,None,correct,correct,correct,,,,"the line ends with the string <M0> , no more than six times or the string <M1>","( . * ) ( ( ( <M0> ) { 6 , } ) | ( <M1> ) )",该行以字符串<M0>结尾，最多不超过六次，或者以字符串<M1>结尾,"the line ends with the string <M0> , no more than six times , or ends with the string <M1>","( . * ) ( ( ( <M0> ) { 6 , } ) | ( <M1> ) )",0.8666666670000001,0.872228089,5,0.7826086959999999,0.7368421059999999,0.99186411,0.9813192079999999,0.84695481,0.825266632,1.0,1.0,1.0,1.0,1.0,1.0,1.0
433,FW,FW,FW,bug,bug,bug,quantifier ,affiliation/order,"affiliation, quantifier",lines with the string <M0> before the string <M1> or the string <M2> at least once,( ( <M0> ) . * ( <M1> ) . * ) | ( ( <M2> ) + ),在字符串<M1>或字符串<M2>之前的字符串<M0>行至少一次,the string <M0> line at least once before the string <M1> or the string <M2>,( ( ( <M0> ) + ) . * ( <M1> ) . * ) | ( <M2> ),0.5,0.425026399,7,0.695652174,0.6315789479999999,0.9896855590000001,0.9745463790000001,0.86787016,0.854779057,0.684210526,0.639097744,0.0,0.0,0.0,0.342105263,0.298245614
434,FW,,None,bug,correct,correct,,,,"the line ends with the string <M0> , six or more times or the string <M1>","( . * ) ( ( ( <M0> ) { 6 , } ) | ( <M1> ) )",该行以字符串<M0>结束六次或更多次或以字符串<M1>结尾,the line ends with the string <M0> six or more times or ends with the string <M1>,"( ( . * ) ( <M0> ) ) { 6 , }",0.851851852,0.8541593340000001,7,0.695652174,0.6315789479999999,0.9915473459999999,0.98033443,0.857723192,0.840461265,0.4375,0.35714285700000004,0.0,0.0,0.0,0.21875,0.166666667
435,FW,BW,BW,bug,bug,correct,,,,"lines with the string <M0> or starting with the string <M1> , 5 or more times","( ( <M0> ) | ( ( <M1> ) ( . * ) ) ) { 5 , }",以字符串<M0>或以字符串<M1>开头的行5次或更多次,lines starting with the string <M0> or starting with the string <M1> 5 or more times,( ( ( <M0> ) ( . * ) ) | ( ( <M1> ) ( . * ) ) ),0.869047619,0.8751319959999999,6,0.739130435,0.6842105270000001,0.992274821,0.982596054,0.875062516,0.864927769,0.666666667,0.6190476189999999,0.0156,0.0156,0.0156,0.341133333,0.297208889
436,FW,ambiguity,FW,bug,bug,bug,affiliation,affiliation,affiliation,"lines not containing only the string <M0> , no more than 3 times","~ ( ( <M0> ) { , 3 } )",仅包含字符串<M0>的行，最多不超过3次,"lines containing only the string <M0> , no more than 3 times","( . * <M0> . * ) { , 3 }",0.9375,0.958619325,1,0.956521739,0.947368421,0.983855606,0.956421823,0.9236335290000001,0.933463481,0.25,0.14285714300000002,0.0,0.0,0.0,0.125,0.066666667
437,c,FW,FW,correct,bug,correct,,,,"lines with a letter or containing the string <M0> , greater than or equal to zero times",( ( [ <LET> ] ) | ( . * <M0> . * ) ) *,字母或包含字符串<M0>的行，大于或等于零倍,"letters or lines containing the string <M0> , greater than or equal to zero times",( [ <LET> ] ) + | ( ( [ <LET> ] ) * ) . *,0.8045977009999999,0.796526235,4,0.826086957,0.789473685,0.9904020170000001,0.976773753,0.875810517,0.86598323,0.5,0.428571429,0.8281,0.8281,0.8281,0.66405,0.6416533329999999
438,c,,None,correct,correct,correct,,,,"lines ending with the string <M0> followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",以字符串<M0>结尾的行，后跟一个字符，最多3次,"line ending with the string <M0> , followed by a character , up to 3 times","( ( . * ) ( <M0> . * . . * ) ) { , 3 }",0.9594594590000001,0.985401981,1,0.956521739,0.947368421,0.9959807759999999,0.9941173809999999,0.940739008,0.957600021,1.0,1.0,1.0,1.0,1.0,1.0,1.0
439,FW,FW,FW,bug,bug,bug,quantifier ,quantity,quantifier,lines with the string <M0> before a letter or the string <M1> at least once,( ( ( <M0> ) . * ( [ <LET> ] ) . * ) | ( <M1> ) ) +,在字母或字符串<M1>之前至少包含一次字符串<M0>的行,lines containing the string <M0> at least once before the letter or string <M1>,. * ( ( <M0> ) + ) . * ( [ <LET> ] ) . * . *,0.443037975,0.355553179,11,0.52173913,0.421052631,0.955704882,0.8689049259999999,0.804580282,0.7654744170000001,0.42105263200000004,0.338345865,0.543402,0.543402,0.543402,0.482227316,0.44770913700000003
440,p,plural,p,bug,bug,bug,,,,"lines arranged with a character in front of a vowel or the string <M0> , zero or more times",( ( ( . ) . * ( [ <VOW> ] ) . * ) | ( <M0> ) ) *,在元音或字符串<M0>前面用字符排列的行，零次或多次,"lines arranged with characters in front of vowel or character string <M0> , zero or more times",( ( ( . ) + . * ( [ <VOW> ] ) . * ) | ( <M0> ) ) *,0.872340426,0.879148038,4,0.826086957,0.789473685,0.9894510879999999,0.97381744,0.862283795,0.846896465,0.95,0.942857143,1.0,1.0,1.0,0.975,0.973333333
441,FW,BW,BW,bug,bug,bug,"quantifier, affiliation",affiliation,"quantifier, affiliation",lines with a number followed by a character at least once,( [ <NUM> ] . * . . * ) +,用数字后跟一个字符的行至少一次,a line followed by a character with a number at least once,( [ <LET> ] . * . . * ) +,0.5,0.425026399,5,0.7826086959999999,0.7368421059999999,0.987165278,0.966711157,0.923685797,0.9335372340000001,0.8888888890000001,0.8730158729999999,0.0,0.0,0.0,0.444444444,0.40740740700000005
442,FW,FW,FW,bug,bug,bug,Under-translation,ut,under-translation,lines with the string <M0> or a letter before the string <M1>,( ( <M0> ) | ( [ <LET> ] ) ) . * ( <M1> ) . *,字符串<M0>或字符串<M1>前的字母,the letter before the string <M0> or the string <M1>,( ( <M0> ) . * ( <M0> ) . * ) | ( ( <M0> ) | ( <M1> ) ),0.508196721,0.43502345600000003,2,0.913043478,0.894736842,0.948322198,0.845953133,0.801054769,0.7604997720000001,0.409090909,0.324675325,1.0,1.0,1.0,0.704545455,0.684848485
443,FW,BW,BW,bug,bug,bug,"order, modification",ut,"modification, under-translation, order",lines with the string <M0> before a vowel or a numeric character,( <M0> ) . * ( ( [ <VOW> ] ) | ( [ <NUM> ] ) ) . *,在元音或数字字符之前的字符串<M0>,string before vowel or numeric character <M0>,( . * ) . * ( ( [ <VOW> ] ) | ( [ <LET> ] ) ) . *,0.546875,0.48219707,7,0.695652174,0.6315789479999999,0.9494344370000001,0.849410938,0.631588356,0.5213756420000001,0.8235294120000001,0.7983193279999999,0.0255299,0.0255299,0.0255299,0.42452965600000003,0.386164966
444,c,BW,FW,correct,bug,bug,affiliation,affiliation,affiliation,"strings with the string <M0> or letters and the string <M1> , greater than or equal to zero times",( ( <M0> ) | (( [ <LET> ] ) + & ( <M1> ) ) ) *,字符串<M0>或字母和字符串<M1>的字符串，大于或等于零倍,"string <M0> or a string of letters and strings <M1> , greater than or equal to zero times",( ( <M0> ) | ( ( [ <CAP> ] ) * ) ),0.793814433,0.78337452,5,0.7826086959999999,0.7368421059999999,0.99152258,0.9802574359999999,0.836132097,0.809995335,0.588235294,0.529411765,0.037037,0.037037,0.037037,0.312636147,0.26681189
445,FW,FW,FW,bug,bug,bug,Under-translation,order,"under-translation, order",lines with the string <M0> before the string <M1> or a letter,( <M0> ) . * ( ( <M1> ) | ( [ <LET> ] ) ) . *,在字符串<M1>之前的字符串<M0>或字母,string <M0> or letter before the string <M1>,( ( <M0> ) | ( <M0> ) ) . * ( ( <M1> ) . * ( <M1> ) . * ),0.44262295100000004,0.355046999,4,0.826086957,0.789473685,0.953619997,0.862423293,0.669912964,0.575453251,0.52173913,0.453416149,4.7683533999999995e-06,4.76835e-06,4.76835e-06,0.260871949,0.211596746
446,p,plural,p,bug,bug,bug,,,,lines containing the string <M0> or a capital letter followed by characters,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),包含字符串<M0>或大写字母后跟字符的行,lines containing the string <M0> or capital letters followed by characters,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),0.96,0.9860612470000001,1,0.956521739,0.947368421,0.9968541059999999,0.996832449,0.9415549459999999,0.958751343,1.0,1.0,1.0,1.0,1.0,1.0,1.0
447,p,plural,p,bug,bug,bug,,,,lines containing the string <M0> or a capital letter followed by a character,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),包含字符串<M0>或大写字母后跟一个字符的行,lines containing the string <M0> or capital letters followed by a character,( . * <M0> . * ) | ( [ <CAP> ] . * . . * ),0.9605263159999999,0.9867031629999999,1,0.956521739,0.947368421,0.9963643990000001,0.9953100140000001,0.942348693,0.9598713529999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
448,p,plural,p,bug,bug,bug,,,,"rows with a capital letter in front of a string that is not the string <M0> , zero or more times",( [ <CAP> ] ) . * ( ~ ( ( <M0> ) * ) ) . *,在不是字符串<M0>的字符串前面带有大写字母的行，零次或多次,"lines with capital letters in front of a string that is not the string <M0> , zero or more times",( [ <LET> ] ) . * ( ~ ( ( <M0> ) * ) ) . *,0.927083333,0.9459147309999999,3,0.869565217,0.842105263,0.974681461,0.9279006129999999,0.922785104,0.9322663179999999,0.9375,0.9285714290000001,-1.0,0.0,0.0,0.46875,0.433333333
449,c,,None,correct,correct,correct,,,,"lines ending with vowels , zero or more times",( ( . * ) ( [ <VOW> ] ) + ) *,以元音结尾的行，零次或多次,"lines ending in vowels , zero or more times",( ( . * ) ( [ <VOW> ] ) + ) *,0.933333333,0.9535374870000001,0,1.0,1.0,0.990173035,0.976061878,0.878123854,0.8692474440000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
450,c,,None,correct,correct,correct,,,,"strings ending with the string <M0> then a character , zero or more times",( ( . * ) ( <M0> . * . . * ) ) *,以字符串<M0>结尾的字符串，然后是一个字符，零次或更多次,"a string ending with the string <M0> , then a character , zero or more times",( . * ) ( ( <M0> . * . . * ) * ),0.934210526,0.954607347,4,0.826086957,0.789473685,0.99146944,0.980092231,0.9153151979999999,0.9217259720000001,0.7333333329999999,0.695238095,3.935768e-06,3.93577e-06,3.93577e-06,0.366668635,0.324446544
451,a,ambiguity,amb,a,correct,bug,,,,lines not having vowels or a capitalized letter at least once,( ( ~ ( [ <VOW> ] ) + ) | ( [ <CAP> ] ) ) +,行中至少一次没有元音或大写字母,no vowels or capital letters at least once in the line,( ( [ <LET> ] ) + | ( ( [ <VOW> ] ) + | ( [ <LET> ] ) + ) ) +,0.45901639299999997,0.375041113,8,0.6521739129999999,0.578947369,0.9611547709999999,0.8858479140000001,0.650039457,0.54741091,0.526315789,0.45864661700000003,0.00071715214,0.000717152,0.000717152,0.26351647100000003,0.21441756899999997
452,p,plural,p,bug,bug,bug,,,,"lines having either the string <M0> , a number , or a lower-case letter before the string <M1>",( ( <M0> ) | ( [ <NUM> ] ) | ( [ <LOW> ] ) ) . * ( <M1> ) . *,在字符串<M1>之前具有字符串<M0>，数字或小写字母的行,"lines with the string <M0> , numbers or lowercase letters before the string <M1>",( ( <M0> ) | ( [ <NUM> ] ) + ) . * ( <M1> ) . *,0.808510638,0.801298614,10,0.565217391,0.47368421,0.97433341,0.926818568,0.7132685459999999,0.636629774,0.8,0.771428571,0.090909,0.090909,0.090909,0.44545450000000003,0.4084848
453,FW,FW,FW,bug,bug,bug,semantic,quantity,quantifier,"rows with words that have a number , 5 or more times","\ b ( [ <NUM> ] ) { 5 , } \ b",行数大于等于5的单词,words with 5 lines or more,"\ b ( [ <VOW> ] ) { 5 , } \ b",0.365384615,0.26084396,8,0.6521739129999999,0.578947369,0.818854637,0.443455524,0.352923219,0.128167587,0.833333333,0.80952381,0.0,0.0,0.0,0.41666666700000005,0.37777777799999995
454,BW,BW,BW,bug,bug,bug,negation,ut,"affiliation, under-translation","strings not having the string <M0> before either a vowel , the string <M1> , or a character",( ~ ( <M0> ) ) . * ( ( [ <VOW> ] ) | ( <M1> ) | ( . ) ) . *,元音，字符串<M1>或字符前没有字符串<M0>的字符串,"vowel , character string <M1> or character string without character string <M0>","( ( . ) { , 7 } ) | ( ~ ( <M0> ) )",0.32967033,0.217285355,16,0.304347826,0.15789473699999998,0.9034420959999999,0.7064268020000001,0.55274217,0.410120406,0.39130434799999997,0.304347826,-1.0,0.0,0.0,0.19565217399999998,0.142028986
455,p,plural,p,bug,bug,bug,,,,"lines with words that contain either a vowel , the string <M0> , or the string <M1>",\ b . * ( [ <VOW> ] ) | ( <M0> ) | ( <M1> ) . * \ b,行中包含元音，字符串<M0>或字符串<M1>的单词,"words with vowels , string <M0> or string <M1> in the line",( ( [ <VOW> ] ) + | ( <M0> ) ) | ( <M1> ) \ b,0.409638554,0.31481787699999997,9,0.608695652,0.52631579,0.9397430379999999,0.8192816540000001,0.560795896,0.42148454700000004,0.588235294,0.529411765,0.0005711022500000001,0.000571102,0.000571102,0.29440319800000003,0.247363411
456,p,plural,p,bug,bug,bug,,,,lines arranged with a number followed by the string <M0> before a letter,( [ <NUM> ] . * <M0> . * ) . * ( [ <LET> ] ) . *,排列的数字行，数字后跟字母<M0>,"arranged rows of numbers , followed by letters <M0>",. * [ <NUM> ] . * [ <LET> ] . * . *,0.45833333299999995,0.374208025,12,0.47826087,0.36842105399999997,0.857910123,0.56487389,0.490693163,0.322566686,0.533333333,0.46666666700000003,-1.0,0.0,0.0,0.26666666699999997,0.217777778
457,p,plural,p,bug,bug,bug,,,,"strings containing either the string <M0> , a vowel , or a capital letter",. * ( <M0> ) | ( [ <VOW> ] ) | ( [ <CAP> ] ) . *,包含字符串<M0>，元音或大写字母的字符串,"a string containing the string <M0> , vowels or capital letters",. * ( <M0> ) | ( [ <VOW> ] ) + . *,0.767123288,0.750820906,3,0.869565217,0.842105263,0.964283088,0.89557344,0.741835572,0.676939031,0.7333333329999999,0.695238095,0.16381,0.16380999999999998,0.16380999999999998,0.448571667,0.41180977799999996
458,BW,FW,BW,bug,bug,bug,quantifier ,affiliation,quantifier,rows with words that have a character at least one time or the string <M0>,\ b ( ( . ) + ) | ( <M0> ) \ b,包含至少一个字符的单词或字符串<M0>的行,line containing at least one character word or string <M0>,. * ( ( <M0> ) + ) | ( <M0> ) . *,0.418918919,0.32613659100000003,9,0.608695652,0.52631579,0.8956228709999999,0.6821178609999999,0.53973989,0.39177365,0.642857143,0.591836735,7.867666e-06,7.867669999999999e-06,7.867669999999999e-06,0.321432505,0.276194672
459,p,plural,p,bug,bug,bug,,,,lines with words that contain a numeric character or the string <M0>,\ b ( . * [ <NUM> ] . * ) | ( <M0> ) \ b,包含数字字符或字符串<M0>的单词的行,line containing words of numeric characters or string <M0>,. * ( . * [ <NUM> ] . * ) | ( <M0> ) . *,0.588235294,0.532641779,7,0.695652174,0.6315789479999999,0.9822797870000001,0.9515228090000001,0.663896201,0.56696335,0.7333333329999999,0.695238095,-1.0,0.0,0.0,0.36666666700000006,0.324444444
460,FW,FW,FW,bug,bug,bug,"quantifier, under-translation",ut/quantity,"quantifier, under-translation",lines with the string <M0> before a vowel at least one time ,( <M0> ) . * ( ( [ <VOW> ] ) + ) . *,在元音之前至少用字符串<M0>行,use at least the string <M0> line before the vowel,( ( <M0> ) + ) . * ( [ <VOW> ] ) . *,0.41666666700000005,0.32338965199999997,8,0.6521739129999999,0.578947369,0.890706372,0.6668331120000001,0.676958233,0.5853944179999999,0.538461538,0.472527473,1.0,1.0,1.0,0.7692307690000001,0.7538461540000001
